column,hash,SMARTS
Bit79,-1205844300,[#26D6v6+0H0R](-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#6D3v4+0H0R])(-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#6D3v4+0H0R])(-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#6D3v4+0H0R])(-[#7D3v4+1H0R](:[#6D3v4+0H0R]):[#6D3v4+0H0R])(-[#7D3v3+0H0R](:[#6D3v4+0H0R]):[#6D3v4+0H0R])-[#7D3v3+0H0R](:[#6D3v4+0H0R]):[#6D3v4+0H0R]
Bit80,847124271,[#6D4v4+0H0R](-[#7D3v4+1H0R])(-[#6D2v4+0H2R])(-[#6D1v4+0H3R0])-[#6D1v4+0H3R0]
Bit81,133401407,[#6D3v4+0H0R](-[#6D3v4+0H0R](:[#7D3v4+1H0R]):[#7D3v3+0H0R])(:[#6D2v4+0H1R]:[#6D3v4+0H0R]):[#7D3v4+1H0R](-[#26D6v6+0H0R]):[#6D3v4+0H0R]
Bit82,1948603620,[#6D2v4+0H1R](:[#6D2v4+0H1R]:[#6D3v4+0H0R]):[#6D3v4+0H0R](-[#8D1v2+0H1R0]):[#6D2v4+0H1R]
Bit83,770418749,[#6D2v4+0H2R](-[#6D2v4+0H2R])-[#16D2v2+0H0R]
Bit84,892592086,[#6D3v4+0H0R](-[#6D2v4+0H0R0])(:[#6D3v4+0H0R]):[#6D2v4+0H1R]
Bit85,1626016656,[#6D2v4+0H2R](-[#7D3v4+1H0R](-[#26D6v6+0H0R])=[#6D3v4+0H0R])-[#6D2v4+0H2R]-[#7D3v4+1H1R]
Bit86,1099676861,[#7D2v3+0H1R](:[#6D3v4+0H0R](-[#6D1v4+0H3R0]):[#7D3v4+1H0R]):[#6D2v4+0H1R]:[#6D3v4+0H0R]
Bit87,866987023,[#6D2v4+0H0R0](-[#6D3v4+0H0R0])#[#7D1v3+0H0R0]
Bit88,1960802568,[#6D3v4+0H0R](-[#6D2v4+0H2R0]-[#6D1v4+0H3R0])(:[#6D2v4+0H1R]:[#6D2v4+0H1R]):[#6D3v4+0H0R](-[#7D3v3+0H0R]):[#6D3v4+0H0R]
Bit89,1930028609,[#7D3v4+1H0R](-[#26D6v6+0H0R])(-[#6D3v4+0H1R0])=[#6D2v4+0H1R]
Bit90,975716933,[#6D2v4+0H0R0](-[#6D2v4+0H2R0]-[#6D2v4+0H2R0])#[#7D1v3+0H0R0]
Bit91,401661000,[#26D6v6+0H0R](-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D2v4+1H0R0])(-[#7D2v4+1H0R0])(-[#7D4v4+1H0R])-[#7D4v4+1H0R]
Bit92,930676317,[#6D3v4+0H0R](-[#6D3v4+0H0R0])(:[#7D3v4+1H0R]):[#6D2v4+0H1R]
Bit93,2099030737,[#6D3v4+0H0R0](-[#6D1v4+0H3R0])(-[#6D1v4+0H3R0])=[#7D3v4+1H0R](-[#6D2v4+0H2R])-[#26D6v6+0H0R]
Bit94,574037745,[#7D2v3+0H0R](:[#6D3v4+0H0R]):[#7D2v3+0H0R]
Bit95,2111982078,[#7D3v3+0H0R](-[#7D1v3+0H2R0])(:[#6D3v4+0H0R]):[#6D3v4+0H0R]
Bit96,677261803,[#6D3v4+0H0R](:[#6D3v4+0H0R])(:[#7D3v4+1H0R]):[#6D2v4+0H1R]
Bit97,1646129076,[#6D2v4+0H1R](:[#6D2v4+0H1R]:[#7D3v4+1H0R]):[#6D3v4+0H0R](-[#6D1v4+0H3R0]):[#6D2v4+0H1R]
Bit98,44705703,[#7D3v4+1H0R](-[#26D6v6+0H0R](-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D3v4+1H0R])(-[#7D2v3+0H0R0])-[#7D2v3+0H0R0])(:[#7D3v3+0H0R](-[#6D2v4+0H2R]):[#6D3v4+0H0R]):[#6D3v4+0H0R](-[#6D1v4+0H3R0]):[#6D2v4+0H1R]
Bit99,-683124018,[#7D2v3+0H1R](:[#6D2v4+0H1R]:[#6D2v4+0H1R]):[#6D3v4+0H0R](-[#6D2v4+0H1R]):[#7D3v4+1H0R]
Bit100,-1747904633,[#6D2v4+0H2R0](-[#6D2v4+0H2R0])-[#17D1v1+0H0R0]
Bit101,665999463,[#6D3v4+0H0R](:[#7D3v4+1H0R](-[#26D6v6+0H0R]):[#6D3v4+0H0R])(:[#6D2v4+0H1R]:[#6D2v4+0H1R]):[#6D3v4+0H0R](:[#6D2v4+0H1R]):[#6D2v4+0H1R]
Bit102,975716933,[#6D2v4+0H0R0](-[#6D2v4+0H2R0]-[#6D2v4+0H2R0])#[#7D1v3+0H0R0]
Bit103,486012057,[#6D2v4+0H2R](-[#6D3v4+0H0R](:[#6D3v4+0H0R]):[#6D2v4+0H1R])-[#6D2v4+0H2R]-[#6D3v4+0H0R]
Bit104,839420663,[#6D3v4+0H0R](-[#6D3v4+0H0R])(:[#7D3v4+1H0R]):[#16D2v2+0H0R]
Bit105,156396983,[#6D2v4+0H2R0](-[#8D2v2+0H0R0]-[#6D3v4+0H0R])-[#6D2v4+0H2R0]-[#6D2v4+0H2R0]
Bit106,-1258384129,[#6D2v4+0H2R](-[#6D2v4+0H2R]-[#6D2v4+0H2R])-[#6D2v4+0H2R]-[#6D3v4+0H1R]
Bit107,614116522,[#8D2v2+0H0R](-[#6D2v4+0H2R]-[#6D2v4+0H2R])-[#6D3v4+0H0R](-[#6D3v4+0H0R])=[#7D3v4+1H0R]
Bit108,590157156,[#5D4v4-1H0R](-[#7D3v3+0H0R])(-[#7D3v3+0H0R])(-[#7D3v3+0H0R])-[#7D3v3+0H0R]
Bit109,612574731,[#6D1v4+0H1R0]
Bit110,-1262902764,[#6D2v4+0H0R0](=[#7D2v3+0H0R0]-[#26D6v6+0H0R])=[#16D1v2+0H0R0]
Bit111,109064239,[#6D3v4+0H0R](-[#6D3v4+0H0R])(-[#8D2v2+0H0R])=[#7D3v4+1H0R]
Bit112,2124851616,[#6D3v4+0H0R](-[#6D3v4+0H0R](:[#7D2v3+0H0R]):[#6D2v4+0H1R])(:[#7D2v3+0H0R]:[#6D3v4+0H0R]):[#6D3v4+0H0R](-[#6D3v4+0H0R]):[#7D3v4+1H0R]
