Unnamed: 0,smi,chg,coord_no,memo
FEPICC36_ligands0.mol2,c1ccnc(c1)CN,0,2,
FEPICC37_ligands0.mol2,c1ccnc(c1)CN,0,2,
IBIXEX_ligands0.mol2,c1ccnc(c1)CN,0,2,
IBIWUM_ligands0.mol2,c1ccnc(c1)CN,0,2,
IBIXAT10_ligands0.mol2,c1ccnc(c1)CN,0,2,
IBIXAT14_ligands0.mol2,c1ccnc(c1)CN,0,2,
IBIXIB_ligands0.mol2,c1ccnc(c1)CN,0,2,
DIXLUR10_ligands0.mol2,c1ccnc(c1)CN,0,2,
PUTGOC01_ligands0.mol2,c1ccnc(c1)CN,0,2,
PUTGOC_ligands0.mol2,c1ccnc(c1)CN,0,2,
PUTHAP01_ligands0.mol2,c1ccnc(c1)CN,0,2,
PUTHAP_ligands0.mol2,c1ccnc(c1)CN,0,2,
PUTHIX01_ligands0.mol2,c1ccnc(c1)CN,0,2,
PUTHIX_ligands0.mol2,c1ccnc(c1)CN,0,2,
AKENAF_ligands0.mol2,C(=[N-])=S,-1,1,
AKENAF_ligands1.mol2,CC(C)/N=C/c1ccccn1,0,2,
AKENAF01_ligands0.mol2,C(=[N-])=S,-1,1,
AKENAF01_ligands1.mol2,CC(C)/N=C/c1ccccn1,0,2,
AKEMUY_ligands0.mol2,C(=[N-])=[Se],-1,1,
AKEMUY_ligands1.mol2,CC(C)/N=C/c1ccccn1,0,2,
RONPIT41_ligands1.mol2,c1ccc(cc1)c2ccc(cc2)/N=C/c3ccccn3,0,2,
RONPIT41_ligands0.mol2,C(=[N-])=S,-1,1,
RONPIT39_ligands1.mol2,c1ccc(cc1)c2ccc(cc2)/N=C/c3ccccn3,0,2,
RONPIT39_ligands0.mol2,C(=[N-])=S,-1,1,
RONPIT26_ligands0.mol2,C(=[N-])=S,-1,1,
RONPIT26_ligands1.mol2,c1ccc(cc1)c2ccc(cc2)/N=C/c3ccccn3,0,2,
RONPIT34_ligands1.mol2,c1ccc(cc1)c2ccc(cc2)/N=C/c3ccccn3,0,2,
RONPIT34_ligands0.mol2,C(=[N-])=S,-1,1,
NOWBIK01_ligands0.mol2,C(=[N-])=S,-1,1,
NOWBIK01_ligands1.mol2,c1ccc(cc1)C#Cc2ccc(cc2)/N=C/c3ccccn3,0,2,
NOWBIK_ligands1.mol2,c1ccc(cc1)C#Cc2ccc(cc2)/N=C/c3ccccn3,0,2,
NOWBIK_ligands0.mol2,C(=[N-])=S,-1,1,
WATJEJ_ligands0.mol2,C(=[N-])=[Se],-1,1,
WATJEJ_ligands1.mol2,c1ccc(cc1)C#Cc2ccc(cc2)/N=C/c3ccccn3,0,2,
WATJEJ01_ligands1.mol2,c1ccc(cc1)C#Cc2ccc(cc2)/N=C/c3ccccn3,0,2,
WATJEJ01_ligands0.mol2,C(=[N-])=[Se],-1,1,
XECNAU01_ligands1.mol2,c1ccc(cc1)/N=N/c2ccc(cc2)/N=C/c3ccccn3,0,2,
XECNAU01_ligands0.mol2,C(=[N-])=S,-1,1,
XECNAU_ligands0.mol2,C(=[N-])=S,-1,1,
XECNAU_ligands1.mol2,c1ccc(cc1)/N=N/c2ccc(cc2)/N=C/c3ccccn3,0,2,
XECMIB01_ligands0.mol2,C(=[N-])=S,-1,1,
XECMIB01_ligands1.mol2,c1ccc(cc1)c2ccc(cc2)c3ccc(cc3)/N=C/c4ccccn4,0,2,
XECMIB02_ligands1.mol2,c1ccc(cc1)c2ccc(cc2)c3ccc(cc3)/N=C/c4ccccn4,0,2,
XECMIB02_ligands0.mol2,C(=[N-])=S,-1,1,
COMQUR_ligands0.mol2,c1ccc2c(c1)cccc2C#Cc3ccc(cc3)/N=C/c4ccccn4,0,2,
COMQUR_ligands1.mol2,C(=[N-])=S,-1,1,
COMQUR01_ligands1.mol2,c1ccc2c(c1)cccc2C#Cc3ccc(cc3)/N=C/c4ccccn4,0,2,
COMQUR01_ligands0.mol2,C(=[N-])=S,-1,1,
UFIPIJ01_ligands1.mol2,c1ccc(cc1)N=C(c2ccccn2)c3ccccn3,0,2,
UFIPIJ01_ligands0.mol2,C(=[N-])=S,-1,1,
UFIPIJ_ligands1.mol2,c1ccc(cc1)N=C(c2ccccn2)c3ccccn3,0,2,
UFIPIJ_ligands0.mol2,C(=[N-])=S,-1,1,
VEWVEY_ligands0.mol2,Cc1cccc(n1)c2ccccn2,0,2,
CATWUS_ligands0.mol2,c1cc2c(nc1)-c3c(cccn3)C2=O,0,2,
KABYER_ligands0.mol2,Cc1cccnc1c2c(cccn2)C,0,2,
SIXJUE_ligands0.mol2,c1cc(nnc1)c2cccnn2,0,2,
QALMAR_ligands0.mol2,c1ccnc(c1)c2nc[nH]n2,0,2,
QALMAR01_ligands0.mol2,c1ccnc(c1)c2nc[nH]n2,0,2,
YIVSEB_ligands0.mol2,Cc1nc(nn1C)c2ccccn2,0,2,
OJIVOS_ligands1.mol2,c1ccnc(c1)c2c3ccccn3nn2,0,2,
OJIVOS_ligands0.mol2,c1ccnc(c1)c2c3ccccn3nn2,0,2,
ABIWAK_ligands0.mol2,Cn1cnc(n1)c2cnccn2,0,2,
DEVDUD_ligands0.mol2,c1c(ncs1)c2cscn2,0,2,
ZIMMAJ_ligands0.mol2,c1cnc([nH]1)c2[nH]ccn2,0,2,
VEYTIC_ligands0.mol2,c1ccc2c(c1)[nH]c(n2)c3[nH]c4ccccc4n3,0,2,
VEYTEY_ligands0.mol2,c1ccc2c(c1)[nH]c(n2)c3[nH]c4ccccc4n3,0,2,
NICSEA_ligands0.mol2,c1cnn(c1)c2cc(ccn2)C(=O)O,0,2,
POGXOA_ligands0.mol2,c1ccnc(c1)c2csc(n2)N,0,2,
POGXOA_ligands1.mol2,C(=[N-])=S,-1,1,
POGXUG_ligands1.mol2,C(=[N-])=[Se],-1,1,
POGXUG_ligands0.mol2,c1ccnc(c1)c2csc(n2)N,0,2,
OLAYAC_ligands1.mol2,c1ccnc(c1)CN,0,2,
OLAYAC_ligands0.mol2,C1CNC(=NC1)C2=NCCCN2,0,2,
OLAYAC01_ligands1.mol2,c1ccnc(c1)CN,0,2,
OLAYAC01_ligands0.mol2,C1CNC(=NC1)C2=NCCCN2,0,2,
IMAHIO01_ligands1.mol2,Cc1cccc(n1)c2ccccn2,0,2,
IMAHIO01_ligands0.mol2,C1CNC(=NC1)C2=NCCCN2,0,2,
IMAHIO_ligands0.mol2,C1CNC(=NC1)C2=NCCCN2,0,2,
IMAHIO_ligands1.mol2,Cc1cccc(n1)c2ccccn2,0,2,
FEBPYC04_ligands0.mol2,C(=[N-])=S,-1,1,
FEBPYC04_ligands1.mol2,c1ccnc(c1)c2ccccn2,0,2,
FEBPYC02_ligands0.mol2,C(=[N-])=S,-1,1,
FEBPYC02_ligands1.mol2,c1ccnc(c1)c2ccccn2,0,2,
KEKVIF_ligands1.mol2,C(=[N-])=S,-1,1,
KEKVIF_ligands0.mol2,c1cc2ccc3cccnc3c2nc1,0,2,
KEKVIF01_ligands0.mol2,c1cc2ccc3cccnc3c2nc1,0,2,
KEKVIF01_ligands1.mol2,C(=[N-])=S,-1,1,
PAGXAW_ligands0.mol2,C(=[N-])=S,-1,1,
PAGXAW_ligands1.mol2,Cc1ccc2ccc3ccc(nc3c2n1)C,0,2,
POHLON_ligands0.mol2,c1cc2c(c3c1nccn3)nccn2,0,2,
POHLON_ligands1.mol2,C(=[N-])=S,-1,1,
POHLON01_ligands1.mol2,C(=[N-])=S,-1,1,
POHLON01_ligands0.mol2,c1cc2c(c3c1nccn3)nccn2,0,2,
POWSID_ligands0.mol2,C(=[N-])=S,-1,1,
POWSID_ligands1.mol2,c1ccc2c(c1)nc3c4cccnc4c5c(c3n2)cccn5,0,2,
LAYREJ01_ligands0.mol2,C(=[N-])=S,-1,1,
LAYREJ01_ligands1.mol2,c1ccnc(c1)c2cc[nH]n2,0,2,
LAYQUY_ligands0.mol2,C(=[N-])=S,-1,1,
