ccdc_id,coord_no_1,coord_no_2,coord_no_3,coord_no_4,coord_no_5,coord_no_6
JAQWAZ,0.0,0.0,2.0,0.0,0.0,0.0
JIQDAP,0.0,0.0,0.0,0.0,0.0,1.0
JIQDET,0.0,0.0,0.0,0.0,0.0,1.0
JIQDET04,0.0,0.0,0.0,0.0,0.0,1.0
JOJQEE,0.0,0.0,2.0,0.0,0.0,0.0
JUVGUC,6.0,0.0,0.0,0.0,0.0,0.0
JUVHEN,6.0,0.0,0.0,0.0,0.0,0.0
JUVHIR01,6.0,0.0,0.0,0.0,0.0,0.0
JUVHIR03,6.0,0.0,0.0,0.0,0.0,0.0
KABYER,0.0,3.0,0.0,0.0,0.0,0.0
KALWUR,0.0,0.0,2.0,0.0,0.0,0.0
KALXAY,0.0,0.0,2.0,0.0,0.0,0.0
KALXAY01,0.0,0.0,2.0,0.0,0.0,0.0
KEKVIF,2.0,2.0,0.0,0.0,0.0,0.0
KEKVIF01,2.0,2.0,0.0,0.0,0.0,0.0
KEZPEK,0.0,0.0,0.0,0.0,0.0,1.0
KEZPIO,0.0,0.0,0.0,0.0,0.0,1.0
KEZPIO01,0.0,0.0,0.0,0.0,0.0,1.0
KIFLOD,0.0,0.0,0.0,0.0,0.0,1.0
KIFLUJ,0.0,0.0,0.0,0.0,0.0,1.0
KIFMAQ,0.0,0.0,0.0,0.0,0.0,1.0
KIFMAQ01,0.0,0.0,0.0,0.0,0.0,1.0
KOKKUR,0.0,0.0,2.0,0.0,0.0,0.0
KOKKUR02,0.0,0.0,2.0,0.0,0.0,0.0
KUHRUC,2.0,0.0,0.0,1.0,0.0,0.0
KULTAO04,2.0,2.0,0.0,0.0,0.0,0.0
KULTAO05,2.0,2.0,0.0,0.0,0.0,0.0
LAGJEK01,6.0,0.0,0.0,0.0,0.0,0.0
LAGJEK02,6.0,0.0,0.0,0.0,0.0,0.0
LAQYIM,0.0,0.0,2.0,0.0,0.0,0.0
LARZAF,0.0,0.0,2.0,0.0,0.0,0.0
LAYQUY,2.0,2.0,0.0,0.0,0.0,0.0
LAYRAF,2.0,2.0,0.0,0.0,0.0,0.0
LAYREJ01,2.0,2.0,0.0,0.0,0.0,0.0
LINRAC,1.0,0.0,0.0,0.0,1.0,0.0
LOQPAI,2.0,2.0,0.0,0.0,0.0,0.0
LUWSUS,2.0,0.0,0.0,1.0,0.0,0.0
LUWSUS01,2.0,0.0,0.0,1.0,0.0,0.0
LUWSUS02,2.0,0.0,0.0,1.0,0.0,0.0
LUWSUS03,2.0,0.0,0.0,1.0,0.0,0.0
LUWSUS04,2.0,0.0,0.0,1.0,0.0,0.0
LUWSUS05,2.0,0.0,0.0,1.0,0.0,0.0
LUWSUS06,2.0,0.0,0.0,1.0,0.0,0.0
LUWSUS07,2.0,0.0,0.0,1.0,0.0,0.0
LUWSUS09,2.0,0.0,0.0,1.0,0.0,0.0
LUWTED,2.0,0.0,0.0,1.0,0.0,0.0
LUWTED01,2.0,0.0,0.0,1.0,0.0,0.0
LUWTED02,2.0,0.0,0.0,1.0,0.0,0.0
LUXMOH,0.0,0.0,2.0,0.0,0.0,0.0
LUXMOH01,0.0,0.0,2.0,0.0,0.0,0.0
MALJEP,0.0,0.0,2.0,0.0,0.0,0.0
MALJIT,0.0,0.0,2.0,0.0,0.0,0.0
MALJIT01,0.0,0.0,2.0,0.0,0.0,0.0
MALJIT03,0.0,0.0,2.0,0.0,0.0,0.0
MALJOZ,0.0,0.0,2.0,0.0,0.0,0.0
MALJOZ01,0.0,0.0,2.0,0.0,0.0,0.0
MEGDEH,0.0,0.0,2.0,0.0,0.0,0.0
MELLOF,0.0,0.0,0.0,0.0,0.0,1.0
MELLOF01,0.0,0.0,0.0,0.0,0.0,1.0
MELLOF02,0.0,0.0,0.0,0.0,0.0,1.0
MEQVEM,0.0,0.0,2.0,0.0,0.0,0.0
MEQVEM02,0.0,0.0,2.0,0.0,0.0,0.0
MEQXIS,0.0,0.0,2.0,0.0,0.0,0.0
MEQXIS01,0.0,0.0,2.0,0.0,0.0,0.0
MIFRIF,2.0,0.0,0.0,1.0,0.0,0.0
MIFROL,2.0,0.0,0.0,1.0,0.0,0.0
MIFROL01,2.0,0.0,0.0,1.0,0.0,0.0
MIFSAY,2.0,0.0,0.0,1.0,0.0,0.0
MIFSEC,2.0,0.0,0.0,1.0,0.0,0.0
MIWJUZ,2.0,0.0,0.0,1.0,0.0,0.0
MOFRAA,0.0,0.0,2.0,0.0,0.0,0.0
MOFREE,0.0,0.0,2.0,0.0,0.0,0.0
NAVYEP,0.0,0.0,0.0,0.0,0.0,1.0
NAVYEP01,0.0,0.0,0.0,0.0,0.0,1.0
NEFSIA01,2.0,0.0,0.0,1.0,0.0,0.0
NEFSIA02,2.0,0.0,0.0,1.0,0.0,0.0
NEFVID,6.0,0.0,0.0,0.0,0.0,0.0
NEMSAZ,0.0,0.0,2.0,0.0,0.0,0.0
NEMSED,0.0,0.0,2.0,0.0,0.0,0.0
NERDIA,0.0,0.0,2.0,0.0,0.0,0.0
NERDIA01,0.0,0.0,2.0,0.0,0.0,0.0
NESVOX,0.0,0.0,2.0,0.0,0.0,0.0
NESVOX02,0.0,0.0,2.0,0.0,0.0,0.0
NESVUD,0.0,0.0,2.0,0.0,0.0,0.0
NESVUD01,0.0,0.0,2.0,0.0,0.0,0.0
NESWAK,0.0,0.0,2.0,0.0,0.0,0.0
NETBUJ,0.0,0.0,2.0,0.0,0.0,0.0
NICSEA,0.0,3.0,0.0,0.0,0.0,0.0
NIGXUY01,6.0,0.0,0.0,0.0,0.0,0.0
NIGXUY02,6.0,0.0,0.0,0.0,0.0,0.0
NIQFUP,0.0,0.0,0.0,0.0,0.0,1.0
NIQFUP11,0.0,0.0,0.0,0.0,0.0,1.0
NIXWEZ,0.0,0.0,2.0,0.0,0.0,0.0
NIXXAW,0.0,0.0,2.0,0.0,0.0,0.0
NIXXEA,0.0,0.0,2.0,0.0,0.0,0.0
NOWBIK,2.0,2.0,0.0,0.0,0.0,0.0
NOWBIK01,2.0,2.0,0.0,0.0,0.0,0.0
NOZJAN,0.0,0.0,0.0,0.0,0.0,1.0
NUMBEC,2.0,0.0,0.0,1.0,0.0,0.0
NUMBEC01,2.0,0.0,0.0,1.0,0.0,0.0
NUMBEC02,2.0,0.0,0.0,1.0,0.0,0.0
OBUJAW,0.0,0.0,2.0,0.0,0.0,0.0
OCEVEA,0.0,0.0,2.0,0.0,0.0,0.0
OCEVEA01,0.0,0.0,2.0,0.0,0.0,0.0
OCOPAA,0.0,3.0,0.0,0.0,0.0,0.0
OJIVOS,0.0,3.0,0.0,0.0,0.0,0.0
OLAYAC,0.0,3.0,0.0,0.0,0.0,0.0
OLAYAC01,0.0,3.0,0.0,0.0,0.0,0.0
OZOGIV,0.0,0.0,2.0,0.0,0.0,0.0
PAGXAW,2.0,2.0,0.0,0.0,0.0,0.0
PASDOD,0.0,0.0,0.0,0.0,0.0,1.0
PASDOD01,0.0,0.0,0.0,0.0,0.0,1.0
PASGOF,2.0,2.0,0.0,0.0,0.0,0.0
PASGOF01,2.0,2.0,0.0,0.0,0.0,0.0
PEJQIF,6.0,0.0,0.0,0.0,0.0,0.0
PEJQIF01,6.0,0.0,0.0,0.0,0.0,0.0
PIVFEG,6.0,0.0,0.0,0.0,0.0,0.0
POGMED,2.0,2.0,0.0,0.0,0.0,0.0
POGXOA,2.0,2.0,0.0,0.0,0.0,0.0
POGXUG,2.0,2.0,0.0,0.0,0.0,0.0
POHLON,2.0,2.0,0.0,0.0,0.0,0.0
POHLON01,2.0,2.0,0.0,0.0,0.0,0.0
POWSID,2.0,2.0,0.0,0.0,0.0,0.0
POWSID01,2.0,2.0,0.0,0.0,0.0,0.0
PUBBOD,0.0,0.0,2.0,0.0,0.0,0.0
PUTGOC,0.0,3.0,0.0,0.0,0.0,0.0
PUTGOC01,0.0,3.0,0.0,0.0,0.0,0.0
PUTHAP,0.0,3.0,0.0,0.0,0.0,0.0
PUTHAP01,0.0,3.0,0.0,0.0,0.0,0.0
PUTHIX,0.0,3.0,0.0,0.0,0.0,0.0
PUTHIX01,0.0,3.0,0.0,0.0,0.0,0.0
QAHPIY01,6.0,0.0,0.0,0.0,0.0,0.0
QAHPIY02,6.0,0.0,0.0,0.0,0.0,0.0
QAHVIE,2.0,2.0,0.0,0.0,0.0,0.0
QAHVOK,2.0,2.0,0.0,0.0,0.0,0.0
QALMAR,0.0,3.0,0.0,0.0,0.0,0.0
QALMAR01,0.0,3.0,0.0,0.0,0.0,0.0
QERDIB,0.0,0.0,2.0,0.0,0.0,0.0
QERDIB01,0.0,0.0,2.0,0.0,0.0,0.0
QERDOH,0.0,0.0,2.0,0.0,0.0,0.0
QIDJET,0.0,0.0,2.0,0.0,0.0,0.0
QIDJET01,0.0,0.0,2.0,0.0,0.0,0.0
