ccdc_id,csd_density,csd_packing_coefficient,csd_void_percent,csd_hbonds_inter_count,csd_contacts_inter_total,csd_contacts_under_cutoff,csd_min_contact_distance
HIXDOK01,1.056300444868408,0.5727477067006864,28.810245704723563,0,12,12,1.9963373289409885
HIXDOK,1.106196530471347,0.5935960591133005,28.706589368095347,0,29,28,1.9510036186200617
HIXFOK,1.3732814991535456,0.6929847502412366,1.996025984410556,0,63,63,2.2570273939766268
HIXFUQ01,1.2454400856200245,0.6502665755297334,5.432946001367054,0,15,15,2.248079140636614
HIXFUQ,1.3697077730101097,0.7144281914893617,2.221403584435499,0,42,42,2.1188825561117928
HMPBFE,1.258687315176294,0.6817822095599874,0.0,0,6,6,2.169367694442894
HOLSIN,1.411714777492855,0.7322202561892232,0.0,0,13,12,2.6285784710940767
HOLTEK,1.2483205271151556,0.7022046276704662,0.0,0,4,2,3.398015898588699
HOLSOT,1.3277951463449624,0.7396078518452724,0.0,0,12,9,2.732586664475314
HOLSUZ,1.3569302403916537,0.7139138035877166,0.0,0,7,7,2.7073087600702865
HOLTUA,1.3851931815808902,0.7296641975308642,0.0,0,24,23,2.7254656567163305
HOLTAG,3.219769244728458,0.7255980861244019,0.0,0,13,13,2.556502352055958
HOLTOU,1.5780115699149897,0.7166559312936125,0.0,0,12,11,2.763177403140477
HOQFID,1.3212714296534906,0.7049910873440285,0.0,0,3,3,2.3078124291613986
HPZBFE,2.8573183463196807,0.6928995369120001,0.0,0,8,8,2.1544353445587223
IGEDUU,2.0810703955727314,0.7176172631530695,1.251418159315158,0,57,53,2.1842893322479995
ILAWUP,1.4559335356838914,0.7441201633188355,0.0,9,61,61,1.850124077073008
IMAHIO01,1.232943400678275,0.7074208608174453,0.9169603325201048,0,41,41,2.289958019337344
IMAHIO,1.288177192006749,0.7336899253218491,0.6578244070799163,0,68,68,2.232930544753494
IQIJAT02,1.5479374840538949,0.7350618610017107,0.0,4,25,25,2.128781273423117
IQIJAT,1.629791956069386,0.7454746623038846,0.0,7,36,36,2.2279712824406097
JIQDAP,1.602364743383913,0.7466049237431746,0.0,2,37,36,1.9621231852294772
ISULAJ,1.6438388677473332,0.7312465431415929,0.0,7,37,37,1.9662525905314625
JIQDET,1.5240494356964969,0.7723453570911198,0.0,5,41,41,2.062558070590708
JIQDET04,1.6122263259377063,0.7601628707627118,0.0,4,51,51,1.9435569698439288
IYUFOX01,1.6022349273908691,0.7275943673143507,0.0,0,33,33,1.9771832894041657
IYUFOX,1.6878281446427783,0.7477970297029704,0.0,0,62,61,1.8867086153751205
NESVOX,1.610802790109248,0.7106750654152734,0.0,0,24,24,2.0752764416702227
NESVOX02,1.6974666869677233,0.7473930408359298,0.0,1,56,56,1.6348409265778046
IZAFEW03,1.5561233993979673,0.6661342103202569,4.282619476417926,0,22,22,2.343822793354092
IZAFEW,1.6873538822948222,0.7314319667260843,3.021814786520669,0,47,47,2.3203015748657374
IZAFIA,1.6178876530417776,0.7021632544888359,3.180282250049692,0,35,35,2.2576254545077283
IZAFOG01,1.61407497560263,0.6777638878750274,4.204230235783634,0,30,30,2.4485545542592497
IZAFOG,1.608511650494455,0.6740395967668695,3.956952138770321,0,41,41,2.404041529602718
IZAGAT02,1.474909816171215,0.696100179751234,0.0,0,18,18,2.3143256674689003
IZAGAT,1.5187073782463878,0.7171042509231581,0.6926433093019166,0,33,33,2.311724338867852
JAFBOI01,1.5475252745008137,0.7247932013663114,5.76566936910984,0,8,7,2.6232752385677616
JAFBOI03,1.649789112459764,0.7473577934352982,0.0,0,15,14,2.433647223765968
JAFBUO01,1.5598985913126868,0.7142439138576779,7.713014981273409,0,6,6,2.569082053464211
JAFBUO03,1.6562150020654318,0.7330982774367579,0.0,0,10,10,2.412666837586146
JANSAS,1.2458524189761733,0.6428553719008264,5.279752066115703,0,4,4,2.9389106149622117
JANSAS06,1.2840905201896462,0.7028120713305899,0.6455761316872427,0,12,12,2.1942181410683816
JUVGUC,1.2358663682412412,0.6815029790505478,2.9017874303286564,0,4,4,2.0761743722737878
NEFVID,1.5628848534212607,0.6997100663866684,0.0,0,11,11,2.2042826097088226
JAQQIB,1.601518563741056,0.7025191675794086,0.0,0,17,17,2.282797229944536
JAQVIG,1.7477501750749662,0.7086510263929618,3.2668621700879767,2,30,30,1.6827082551727333
JAQVOM,1.702519090281131,0.7010312976414671,13.247242399784772,0,15,15,2.395793364053345
JAQVUS,1.947950150517581,0.7403693528693529,0.0,1,32,31,1.832413723510242
JAQWAZ,1.27990584104692,0.7171318428380575,0.0,4,22,22,1.797202565356338
JOJQEE,1.4646539074596905,0.7085221435983543,0.0,0,28,28,2.3212147060191004
JUVHIR01,2.7828067797235394,0.7317208849004211,0.0,0,51,51,2.0331948679192284
JUVHIR03,2.908290772361984,0.7426973722040136,0.0,0,61,61,2.1357033003118326
JUVHEN,2.6952320770379217,0.6982539315448658,1.55527289546716,0,40,40,2.198304014714778
LAGJEK01,1.3480183945684865,0.7472856369599133,1.2544974050370936,0,22,22,2.2927767772350065
LAGJEK02,3.899053083277891,0.7287986687289449,0.4321393970093353,0,54,54,2.2575570987971414
KABYER,1.2808136668246732,0.7112421443981138,0.0,0,13,13,2.1580927935222105
KALWUR,2.3338787345525955,0.6927875618401395,0.0,4,24,24,1.8617330230628932
KALXAY01,1.1337689111100333,0.7782488888888889,0.0,0,16,16,2.0535542335332653
KALXAY,1.1900931324516877,0.756145613485018,0.0,0,17,17,1.981966562551456
KEKVIF,1.51243468382775,0.7627815589045536,0.0,0,10,10,2.251286319292445
KEKVIF01,1.5936346979673048,0.7850955037187288,0.0,0,13,13,2.141540949704873
KEZPIO01,2.187135226676796,0.7501832600293216,2.654771424763428,0,30,30,2.3209250445525105
KEZPIO,2.0047770489294345,0.7488194444444445,0.0,0,37,37,2.428078213556996
KEZPEK,1.5807919074879562,0.7052669220945083,0.0,0,16,16,2.346310747971533
KIFLOD,1.3305346158567035,0.7663450697034805,0.0,0,17,14,2.733767894456134
KIFMAQ01,1.5350155499438674,0.7398991004399308,0.0,0,20,20,2.3952401508958188
KIFMAQ,1.5425126509970764,0.7519541778975741,0.0,0,27,27,2.3024480950704977
KIFLUJ,1.4873809579030153,0.7530933370686838,0.0,6,71,71,2.166754646782697
KOKKUR,1.4720199424482456,0.7106847269182103,0.0,0,28,28,2.379835912477935
KOKKUR02,1.5578725771186528,0.7220635750579845,0.0,0,41,41,2.3175420236043043
KUHRUC,1.566581836910139,0.7784544507904453,0.0,2,32,31,2.5643059708972022
KULTAO04,1.5014668314147497,0.6922008547008547,1.177587844254511,2,13,13,2.431233557976188
KULTAO05,1.5865101777523205,0.7264052013422819,0.0,2,19,18,2.5940697262294177
LARZAF,1.3679683474846238,0.8321293159536042,19.45628519507325,1,10,10,2.175213301904013
LAYREJ01,1.4679898634956745,0.7130727196300967,3.4167016953902203,2,31,31,2.022248149311481
LAYQUY,1.385704092960408,0.6811702166795424,9.34898036763173,2,25,25,1.9221387034197084
LAYRAF,1.4337749618819535,0.725625,0.0,4,34,34,1.8482067994831748
LINRAC,1.445537727351594,0.6775389863547758,5.78849902534113,0,26,26,2.48856675799207
LOQPAI,1.3865376276555388,0.6828246810265182,0.0,0,6,3,3.224124328369873
