ccdc_id,The zeta parameter,The delta parameter,The sigma parameter,The theta parameter,Mean M-L BL 
NIXXAW,0.175086,0.000244,136.440271,457.401625,2.128883
NIXXEA,0.180263,0.000263,142.176457,501.243271,2.178389
NOWBIK,0.049557,0.000022,57.164480,165.121897,1.951283
NOWBIK01,0.550489,0.002501,75.267179,236.630456,2.158520
NOZJAN,0.548658,0.001700,100.840631,331.664477,2.230733
NUMBEC,0.357265,0.000985,68.860904,143.921371,2.176802
NUMBEC01,0.330123,0.000727,157.050751,2184.420019,2.135613
NUMBEC02,0.352158,0.000949,63.601439,160.126222,2.176841
OBUJAW,0.066677,0.000035,22.558090,53.719498,2.235726
OCEVEA,0.276222,0.000606,78.065862,258.362189,1.985023
OCEVEA01,0.248920,0.000418,124.329386,403.799456,2.160918
OCOPAA,0.042476,0.000016,44.719994,145.657171,1.973678
OJIVOS,0.160342,0.000321,53.454343,176.214320,1.957033
OLAYAC,0.091534,0.000089,60.976688,196.283613,1.995416
OLAYAC01,0.180048,0.000239,93.394086,285.719838,2.168741
OZOGIV,0.130843,0.000128,163.078641,606.393644,2.189405
PAGXAW,0.555775,0.002234,87.081589,224.171658,2.204981
PASDOD,0.035354,0.000011,54.246519,177.661795,1.976757
PASDOD01,0.061865,0.000030,94.665863,280.347635,2.187621
PASGOF,0.279143,0.000538,64.237105,218.375853,2.136369
PASGOF01,0.071301,0.000052,48.068789,156.911524,1.963274
PEJQIF,0.037582,0.000009,15.442048,36.080944,2.178918
PEJQIF01,0.403800,0.001413,17.866066,67.148093,2.010999
PIVFEG,0.000093,0.000000,3.018646,6.963394,2.190282
POGMED,0.543681,0.001989,74.378707,270.399816,2.182130
POGXOA,0.121018,0.000108,76.070053,209.806784,2.164909
POGXUG,0.092935,0.000058,77.722069,218.481128,2.167464
POHLON,0.419863,0.001278,80.439229,197.656866,2.162943
POHLON01,0.128287,0.000148,36.462450,97.769561,1.968644
POWSID,0.288967,0.000654,75.688556,247.230399,2.168042
POWSID01,0.331670,0.000734,76.636805,247.413346,2.180125
PUBBOD,0.330922,0.001062,79.517289,283.271361,1.957770
PUTGOC,0.090716,0.000070,54.366068,180.286250,2.015389
PUTGOC01,0.135352,0.000178,91.516544,322.486924,2.184925
PUTHAP,0.087852,0.000069,52.725425,170.228951,2.003456
PUTHAP01,0.101433,0.000101,86.573948,277.606235,2.192459
PUTHIX,0.154127,0.000168,51.124921,163.923803,1.998171
PUTHIX01,0.084541,0.000066,87.609382,273.944337,2.177721
QAHPIY01,0.026586,0.000009,12.400897,36.356591,2.072938
QAHPIY02,0.009416,0.000001,10.175528,29.042496,2.177791
